First Name;Last Name;Customer name;Customer Email;Customer Address;Customer Phone;Region;Company;Position;Lead source;Creation date;Expected close date;Sales rep;Deal value;Comission (%);Comission ($);Status;Stage;Priority;Insert_date;update_date
Laraine;Medendorp;Laraine Medendorp;Laraine.Medendorp@gmail.com;Port Charlotte, Florida(FL), 33980;(941) 764-1937;FL;Henry Company;Sales;Instagram;10/09/2022;10/10/2022;John Smith;12 500,00;10%;1250;Marketing qualified lead;Lead qualification;High;10/12/2022;15/10/2022
Eli;Bockman;Eli Bockman;Eli.Bockman@gmail.com;Ganado, Texas(TX), 77962;(336) 597-9392;TX;Naomi Company;Marketing;Paid Ads;10/10/2022;09/11/2022;John Smith;11 000,00;15%;1650;Lead;Negotiation;Low;11/12/2022;16/10/2022
Arlin;Dearle;Arlin Dearle;Arlin.Dearle@gmail.com;Johnson City, Tennessee(TN), 37604;(207) 753-0565;TN;Julia Company;Director;Personal referrals;10/11/2022;10/12/2022;John Smith;25 000,00;15%;3750;Sales qualified lead;Contact/Meeting;Medium;12/12/2022;17/10/2022
Talbot;;Talbot ;Talbot.@gmail.com;Roxboro, North Carolina(NC), 27573;(361) 771-3238;NC;Nathan Company;Adm;Instagram;10/12/2022;09/01/2023;John Smith;500;12%;60;Open;Opportunity;High;13/12/2022;18/10/2022
Sheila-kathryn;Calton;Sheila-kathryn Calton;Sheila-kathryn.Calton@gmail.com;El Centro, California(CA), 92243;(631) 669-3217;CA;Pedro Company;Sales;Paid Ads;13/10/2022;12/11/2022;John Smith;3 500,00;30%;1050;On Hold;Solution;Medium;14/12/2022;19/10/2022
Curr;Duckhouse;Curr Duckhouse;Curr.Duckhouse@gmail.com;Auburn, Maine(ME), 04210;(662) 286-0264;ME;Lucas Company;Marketing;Personal referrals;14/10/2022;13/11/2022;John Smith;13 000,00;5%;650;Won;Contact/Meeting;Low;15/12/2022;20/10/2022
Fina;Merali;Fina Merali;Fina.Merali@gmail.com;Corinth, Mississippi(MS), 38834;(760) 353-5409;MS;Kim Company;Director;Instagram;15/10/2022;14/11/2022;John Smith;25 000,00;30%;7500;Lead;Written Proposal;Medium;16/12/2022;21/10/2022
Rod;Inder;Rod Inder;Rod.Inder@gmail.com;Babylon, New York(NY), 11702;(704) 843-4345;NY;Carol Company;Adm;Paid Ads;16/10/2022;15/11/2022;John Smith;30 000,00;20%;6000;Won;Contact/Meeting;High;17/12/2022;22/10/2022
Mala;Lind;Mala Lind;Mala.Lind@gmail.com;Port Charlotte, Florida(FL), 33980;(941) 764-1937;FL;Henry Company;Sales;Instagram;17/10/2022;16/11/2022;John Smith;10 000,00;12%;1200;Won;Contact/Meeting;Medium;18/12/2022;23/10/2022
Fiorenze;Birdall;Fiorenze Birdall;Fiorenze.Birdall@gmail.com;Ganado, Texas(TX), 77962;(336) 597-9392;TX;Naomi Company;Marketing;Paid Ads;18/10/2022;17/11/2022;John Smith;25 000,00;30%;7500;Won;Contact/Meeting;Low;19/12/2022;24/10/2022
Uriah;Bisatt;Uriah Bisatt;Uriah.Bisatt@gmail.com;Johnson City, Tennessee(TN), 37604;(207) 753-0565;TN;Julia Company;Director;Personal referrals;19/10/2022;18/11/2022;John Smith;500;5%;25;Won;Contact/Meeting;Medium;20/12/2022;25/10/2022
Sawyere;Flattman;Sawyere Flattman;Sawyere.Flattman@gmail.com;Roxboro, North Carolina(NC), 27573;(361) 771-3238;NC;Nathan Company;Adm;Instagram;20/10/2022;19/11/2022;John Smith;10 000,00;30%;3000;Lost;Refund;Medium;21/12/2022;26/10/2022
Gabriele;Norcross;Gabriele Norcross;Gabriele.Norcross@gmail.com;El Centro, California(CA), 92243;(631) 669-3217;CA;Pedro Company;Sales;Paid Ads;21/10/2022;20/11/2022;John Smith;11 000,00;12%;1320;On Hold;Lead qualification;High;22/12/2022;27/10/2022
Rayshell;Kitteman;Rayshell Kitteman;Rayshell.Kitteman@gmail.com;Auburn, Maine(ME), 04210;(662) 286-0264;ME;Lucas Company;Marketing;Personal referrals;22/10/2022;21/11/2022;John Smith;5 000,00;30%;1500;Open;Contact/Meeting;Medium;23/12/2022;28/10/2022
Erroll;Radage;Erroll Radage;Erroll.Radage@gmail.com;Corinth, Mississippi(MS), 38834;(760) 353-5409;MS;Kim Company;Director;Instagram;23/10/2022;22/11/2022;John Smith;1 000,00;5%;50;Open;Contact/Meeting;Medium;24/12/2022;29/10/2022
Harlin;Parr;Harlin Parr;Harlin.Parr@gmail.com;Babylon, New York(NY), 11702;(704) 843-4345;NY;Carol Company;Adm;Instagram;24/10/2022;23/11/2022;John Smith;25 000,00;30%;7500;Open;Contact/Meeting;Medium;25/12/2022;30/10/2022
Heath;Faraday;Heath Faraday;Heath.Faraday@gmail.com;Babylon, New York(NY), 11703;(704) 843-4346;NY;Carol Company;Adm;Paid Ads;25/10/2022;24/11/2022;John Smith;500;12%;60;Open;Contact/Meeting;Medium;26/12/2022;31/10/2022
